decisionType,petitioner,respondent,jurisdiction,caseOrigin,caseSource,lcDisagreement,certReason,partyWinning,precedentAlteration,issueArea
1,198,172,6,51,29,0,11,1,1,8
1,100,27,1,123,30,0,4,0,0,1
1,100,27,1,123,30,0,4,0,0,1
1,100,27,1,123,30,0,4,0,0,1
1,100,27,1,123,30,0,4,0,0,1
1,100,27,1,123,30,0,4,0,0,1
1,100,27,1,123,30,0,4,0,0,1
1,100,27,1,123,30,0,4,0,0,1
1,100,27,1,123,30,0,4,0,0,1
1,209,27,2,107,107,0,1,0,0,8
1,209,27,2,107,107,0,1,0,0,8
1,209,27,2,107,107,0,1,0,0,8
7,27,170,1,3,3,0,10,0,0,2
1,27,176,1,3,3,0,2,1,0,8
1,198,4,2,302,300,1,1,1,0,8
1,148,405,1,21,21,0,10,0,0,8
1,148,405,1,21,21,0,10,0,0,8
1,148,405,1,21,21,0,10,0,0,8
1,148,405,1,21,21,0,10,0,0,8
1,148,405,1,21,21,0,10,0,0,8
1,148,405,1,21,21,0,10,0,0,8
1,148,405,1,21,21,0,10,0,0,8
1,148,405,1,21,21,0,10,0,0,8
1,189,189,1,54,23,0,12,1,0,9
1,189,189,1,54,23,0,12,1,0,9
1,4,248,1,44,29,1,10,1,0,7
1,135,114,1,73,26,0,10,0,0,8
1,135,114,1,73,26,0,10,0,0,8
1,135,114,1,73,26,0,10,0,0,8
1,135,114,1,73,26,0,10,0,0,8
1,126,28,1,302,300,0,10,0,0,1
1,100,27,1,51,29,1,10,1,0,2
1,27,137,1,92,23,0,4,1,0,1
1,106,27,1,92,23,1,4,1,0,1
1,338,221,1,32,32,1,10,1,0,8
1,27,166,1,86,28,0,10,1,0,4
1,27,166,1,86,28,0,10,1,0,4
1,27,166,1,86,28,0,10,1,0,4
1,102,19,2,302,300,0,1,1,0,8
1,27,158,1,66,27,1,10,1,0,8
1,369,240,1,109,23,0,10,1,0,12
1,306,142,1,92,23,0,2,1,0,3
1,306,142,1,92,23,0,2,1,0,3
1,382,151,1,21,21,0,3,1,0,7
1,142,27,1,115,28,0,10,1,0,3
1,142,27,1,103,26,0,10,1,0,3
1,28,369,1,302,300,0,11,0,0,12
1,28,369,1,302,300,0,11,0,0,12
1,27,100,1,81,26,0,4,1,0,1
1,172,177,1,66,27,0,5,0,0,8
1,172,177,1,66,27,0,5,0,0,8
1,177,172,6,302,300,0,5,1,1,8
1,25,19,2,300,300,0,1,0,0,8
1,25,19,2,300,300,0,1,0,0,8
1,27,116,2,54,54,0,1,0,0,8
1,245,234,1,120,25,1,10,1,0,8
1,354,119,1,55,32,1,12,1,0,8
1,145,231,1,80,21,0,12,1,0,8
7,126,28,1,302,300,0,11,0,0,1
7,126,28,1,302,300,0,11,0,0,1
7,126,28,1,302,300,0,11,0,0,1
1,166,237,1,73,26,1,10,0,0,9
1,145,116,1,109,23,0,3,0,0,5
1,249,384,1,66,27,0,10,0,0,9
1,384,384,1,66,27,0,10,0,0,9
1,241,389,1,10,10,0,10,1,0,9
1,324,142,1,55,32,0,10,1,0,9
1,171,171,1,302,300,0,10,1,0,11
1,114,28,1,92,23,0,10,1,0,8
1,114,28,1,92,23,0,10,1,0,8
1,114,28,1,92,23,0,10,1,0,8
1,27,241,1,3,3,0,12,1,0,8
